,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
14545,MAGEA2B,TRBV29OR9-2,AC100860.1,AL049749.1,VPS8,AC079340.2,AC084880.3,AC022915.1,LINC01352,ZNF713,AC010336.1,AL139348.1,AC020743.3
14546,AC024651.2,AP006748.1,AGBL5-AS1,AP005530.1,DAP3,AL590730.1,AP002498.1,HUS1B,LINC01146,AC012558.1,AL023754.1,AC092941.2,IGHV3OR16-8
14547,AC010266.1,LINC01438,AC016687.3,AC026367.2,AC006581.2,LINC02141,AL121583.1,LINC00184,STOML3,AL035078.3,KRT3,AC024958.1,PRAMEF33
14548,OR10P1,LINC02382,NEUROD4,LINC01874,AC005197.1,DEFB121,HIST1H2BF,GTPBP2,C8orf58,AC099518.5,COL2A1,LINC00421,AC090200.1
14549,TFDP3,NBPF6,SLAMF6,AL445224.1,PMM2,AC124066.1,USP19,AP006333.1,PRODH2,DNAI2,AC109479.3,FGA,IGLVIVOR22-1
14550,OR4C13,USP17L23,FUT9,AC097537.1,BCO2,GFRA4,AC017104.3,PITX1,CHKB,AC126178.1,LINC01863,AL031773.1,AL031726.1
14551,AC025811.1,AL157402.1,AC009623.1,AC093730.1,LINC01594,BAALC-AS2,CCDC195,MAMDC2-AS1,SLC45A3,LINC01173,AL591030.1,LINC01154,AC233992.1
14552,CT45A9,AC074254.1,AC244453.1,AL022328.3,OR2F1,AL357093.2,AL360181.1,LINC02078,BTN3A3,AC009166.1,AC107027.1,IGLJ3,ANKRD63
14553,TRBVA,DEFB106A,GLOD4,AC026427.1,CCDC14,OR6Y1,AC020656.1,PSG8-AS1,AL391869.1,AP002754.1,AC114498.1,TRBJ1-5,MYT1L-AS1
14554,BECN2,AC012055.2,TLR8,AC009035.1,AC016229.2,AC092625.1,TTF2,Z98884.1,AC092159.2,AC139795.2,OR2AT4,AL133304.2,OR6C74
14555,AL008723.1,LINC02353,AC025271.2,BFAR,PRODH2,AL512643.1,AL353604.1,SNRPD1,OR5H14,NPAS4,SACM1L,AC068789.1,IGHV3OR16-13
14556,IGKV1D-33,AC091917.2,CLDN20,AC140658.1,XKR4,IGLV3-25,SPINK8,CNOT4,AC022087.1,LINC00470,LINC01428,AC007673.1,LINC01332
14557,IGKV3-25,AC008413.2,TPPP2,AL450992.2,ZDHHC6,SNAI3-AS1,LAMB4,LINC00844,AL445490.1,DLG3-AS1,AC027601.3,LINC01809,AC113146.1
14558,AC027451.1,AC010451.2,MAJIN,CNP,AL022323.4,AP001360.1,AC005332.1,AL049820.1,LINC01983,AC022540.1,AC048341.1,AC096543.2,AC025465.3
14559,LINC01875,DCANP1,AC124067.3,AL158013.1,IDH3A,SLC26A4-AS1,PSKH1,UIMC1,AC037459.2,AC008662.1,AL354710.2,AC107886.1,AC102797.1
14560,TGIF2LX,AC034238.3,GRIN3B,AL121583.1,MASP2,AC009975.1,TOPAZ1,LINC01933,AC104938.1,AC068196.1,AC079943.2,AC023866.1,LINC02563
14561,AP000855.1,AC010608.1,AL158151.4,LINC01761,LINC01738,AL360089.1,TMEM183A,GRK5,AC102953.1,AL445490.1,LINC00563,LCE3C,UGT2A2
14562,LINC02563,AC022441.1,AC068875.1,WFIKKN1,C1D,AL121906.2,AC005288.1,AC020922.4,AC011933.3,AC116407.2,PPIAL4A,ETDC,KRTAP10-6
14563,SSU72P4,AL132855.1,TRMT10B,G6PC2,LINC02014,ZNF197-AS1,PTGDR2,EDDM13,OR52N2,GJC3,OR52E5,AC019349.1,IGHV1OR15-3
14564,AC087399.1,AC011352.3,AC100814.1,LNX1-AS1,CES4A,TRAV38-2DV8,ZNF860,AC006435.2,AC006974.1,WDR72,AL731567.1,LINC00500,LINC01318
14565,PRR23D2,TRAJ60,AC027228.1,AMER1,AP000350.5,AC012309.2,EVPL,AC079907.2,KIF16B,AC008115.2,AC021180.1,NAT8,GPR119
14566,AC008539.1,DEFB105B,DUSP9,ZNF394,TBC1D3D,AL450384.1,MEIS1-AS3,HES7,GNAT3,AC091117.2,TSPAN7,AC087667.1,AC010451.2
14567,AC024619.2,AL049833.1,GK-AS1,AC087362.2,RANBP9,SPINK2,LINC02579,CLCN2,GCSAM,GOLGA6L7,ADGB,HDGFL1,AC025154.1
14568,FRG2B,DEFB128,ROPN1L-AS1,GGTLC1,AC121154.1,RIBC2,LETMD1,AC090159.1,CYP2D6,ARHGAP23,LTV1,NPAP1,C4B-AS1
14569,AC013402.2,USP17L22,LINC01405,AL032819.1,CYB561A3,LINC02329,AP003393.1,ZNF829,ZW10,LINC01979,LINC01525,AC107892.1,AC004066.2
14570,AL592464.1,LINC02103,TREML4,AC233723.1,AL512306.2,AC106785.2,FAM230C,KCNJ14,CTRB1,AC073288.2,AC005606.2,LINC01981,AC006967.2
14571,KRTAP9-2,OR56A5,AC025428.1,AL591163.1,ENO3,AC021860.1,CBLC,ARHGEF9,AL033397.2,LINC01559,AC126768.1,AC016550.2,IGKV1OR10-1
14572,IGKV1-37,AC097381.2,AC048344.1,AC087518.1,LINC01081,AC099552.2,AC005332.3,ITGB1BP2,SUN3,AC004875.1,GSPT2,TRBV7-7,AC245036.5
14573,IGHV1OR16-2,IGKV1OR-2,VPS11,AC074351.1,CNNM1,AC019080.4,MEP1A,AC009133.2,SUGP2,NLRC3,AL022324.3,AC006296.1,DCANP1
14574,GAGE2E,LINC02514,UGT1A7,AC100830.2,FAM117A,AC069307.1,AP001207.3,AC093904.1,AC138393.3,AC097641.2,MS4A5,AC026782.1,ZNRF4
14575,AC011840.3,AC008525.2,TRBV18,AC018521.3,CDKN2AIPNL,AC026790.1,FOXD3-AS1,AL121992.2,KRT23,AC107208.1,CACNG7,IQCF5-AS1,AC004920.1
14576,RBMY1E,AC019133.1,LINC02195,LYPD4,PFDN1,CAPN14,LINC02306,HPN,AC126768.1,ZNF782,LINC02466,AC010551.1,AC106870.2
14577,CT47A9,AC110716.1,AC100835.1,SART3,FUZ,OR7G2,CTBP1-DT,AL583810.1,AC140725.1,ANAPC13,MUC2,AF067845.1,IGKV2OR2-7D
14578,IGHV3OR16-7,AC016550.3,RWDD2A,DCLRE1B,RACGAP1,FAM170A,AL157823.2,HCAR3,AC090541.1,MAGEA6,LINC01962,TRAJ32,AC008525.2
14579,OR9K2,AC010723.1,AC013437.1,AC010275.1,SLX1B,AC090680.1,AC008629.1,LINC02413,AP001596.1,FAM138E,AL162464.2,TEX50,FAM138A
14580,SCGB1C1,AC004066.2,JARID2-AS1,CLEC18C,CLMN,AC002076.1,LTA,RFX3,AL357673.2,AL122125.1,OR10R2,LINC01043,AC012414.4
14581,LINC00606,AC079349.1,CTXND1,AL133216.1,CFAP53,AL121885.1,LRP5L,ZNF445,AC253536.6,AL357833.1,AC090159.1,CLDN17,AL121988.1
14582,AC006205.1,AC094104.1,AC020908.1,AC130324.1,MCTP1,LINC02535,AC010809.2,WEE2-AS1,C19orf12,AL590787.1,GTSCR1,TRAJ45,AC110716.1
14583,IGHV3-54,LINC01332,MRPS23,C5orf66-AS2,AL138976.2,KIR2DL4,GFI1,DNAH11,AC103739.1,AC099063.4,SBK3,AC148477.3,OR11L1
14584,KRTAP10-6,USP17L19,XPNPEP1,AC104454.2,LINC02478,AC090618.1,KCNC2,AC026333.4,AL390728.6,AL355297.3,NKX6-2,IGHV3-36,AC092325.1
14585,IGHD6-6,CENPVL1,AC093281.2,HINFP,AC025575.2,LINC02453,IFNGR1,TRAPPC2B,ASCL4,TEX49,C16orf90,AC006055.1,AP000424.2
14586,IGKV1OR2-6,OR10T2,AC239802.1,KCTD13,NRBF2,AL008718.2,AC064807.3,CCDC66,INSL5,AC009318.1,QSOX2,AL391336.1,IGHV1OR15-9
14587,IGHVII-40-1,USP17L15,AC233728.1,MAGEA11,CRYBA1,AC092119.2,PCDHA12,AL512641.1,C10orf95,VWCE,AC006130.1,AL139240.1,SSU72P3
14588,PPIAL4E,AC025465.3,AL158840.1,AC020779.2,TTC21A,ZC3HC1,AC140125.3,LINC00517,LINC01448,AC127522.1,AC092813.1,AC015818.8,GAGE12C
14589,AL121988.1,IGKV1D-37,GNPDA2,LINC01677,LINC00592,AC009159.2,DTD2,AL136368.1,LAMC2,CRYGN,MIR3150BHG,LINC02159,AC025244.2
14590,OR8K3,FRMPD4-AS1,LINC00208,SPINK13,SCARB2,ZNF79,AL021368.3,USP32,HCLS1,LINC00298,AC093722.1,AC087341.1,AC124312.3
14591,AC022031.1,AC073429.1,AC006450.2,LINC00430,AL008729.1,AC040970.1,VWC2L,PLCH2,SLC17A3,Z83818.2,AMBN,AL031598.1,IGHD4OR15-4A
14592,AC245088.2,AC105343.1,TSR2,LINC01907,AL691520.1,CD200R1L,AL162741.1,PLSCR2,NHLRC3,LINC01919,AC132872.2,IGHD3-22,OR5B17
14593,AC021915.1,USP17L20,AC023790.2,AC069114.1,FCHSD1,AC106821.1,RTL1,ASB16,LINC01970,LIN28B,HGFAC,AP000474.1,AC106744.2
14594,CT45A6,OR5D14,NODAL,AC022140.1,ADAMTS1,AL844170.1,DGAT2L6,LINC01132,TRPM7,AL161616.2,POU4F3,CRYAA,LINC00399
14595,AC135068.2,AC008494.2,U62317.2,ARL5C,ZNF235,IGLV1-36,AL121820.1,AC006435.3,AC009509.4,ITPK1-AS1,AL139300.2,IGHJ6,AC024651.2
14596,IGHV3-33-2,AL157371.1,AL355834.1,AC023825.2,LRRC8D,AC002101.1,ASB11,SSBP3-AS1,OLAH,LINC02130,LINC00427,PISRT1,DPP10-AS2
14597,AL049541.2,USP17L21,FCAR,CCDC172,ARHGEF38,AC104695.1,HS6ST2,RHEBL1,KEL,MMEL1,NWD2,SALRNA3,AC093763.1
14598,CT45A2,OR5D18,AC090912.2,AL672291.1,AL590705.1,AC019197.1,AC016245.1,AC011446.1,ERN2,ZNF560,CASC1,AC010486.1,AL109810.2
14599,OR5M3,AC105275.1,SMARCAL1,AL159174.1,PTH,AC016590.1,KRTAP5-8,SLC25A14,LINC01962,SLCO1B7,AL592071.1,AL355602.1,AC008406.3
14600,AC073176.1,AC145141.1,AC026367.2,DARS-AS1,AC011313.1,AL109659.1,LINC00678,CNTN2,CU633906.2,AC127029.2,FAM181A,AC018943.1,CXorf51B
14601,TRGVB,IGHV3-64,NMS,EPHA1,AC092832.2,LINC00677,CD69,AL390964.1,AC087752.4,RAB23,AC073409.1,OR10H4,AC126323.3
14602,AC011752.1,AC104619.2,TOPAZ1,BAIAP3,AMY2B,IMPACT,PPCDC,SMPD4,AP003486.1,AC024475.3,AL450326.1,TRAJ6,OR5H2
14603,SSU72P8,TRBV26,OR2AG2,AC073288.2,STAU2-AS1,NPRL3,CALY,LINC02482,AC023509.2,AC069234.2,CTAGE15,LINC02368,AC015818.4
14604,TTTY3,AC097467.1,AL390719.2,AC007344.1,CCDC33,LINC02091,AC023790.2,LYSMD4,LINC02108,ZBTB20-AS5,ARSH,PWRN2,OR10P1
14605,AP001021.2,AC025183.3,PHGR1,MRPL23-AS1,LINC02251,TRAJ43,AC243585.2,AC010245.2,NEUROG1,AP002008.1,CDH1,AC005908.2,MIR670HG
14606,AL357793.1,AL121796.1,NPC1L1,SS18L2,LGI3,AP006545.2,AC022898.1,STX11,AC131212.1,AC079305.1,CABP5,TRAJ21,AC099786.2
14607,KRTAP20-2,AC025244.2,AGAP6,AC091117.2,AL591926.2,AC067969.2,ANKRD6,SPN,PELI1,FAM72C,TMEM17,AC018511.1,IGKV2OR2-2
14608,IGHV3-50,LINC02239,AC110285.1,CTAGE8,SYNE4,INTS5,TNRC6A,ZNF268,AL023754.1,UBE2N,HTR3A,AC016550.1,ALPI
14609,AC007631.1,BPY2C,FLT3,AC104827.1,ATP2C2,AC009852.1,FFAR2,AC084824.5,LINC01722,SLCO4A1-AS1,AC009869.1,TRAJ61,IGHVII-60-1
14610,AL359458.1,POM121L12,AC099677.4,NLRP2B,SEMA3F,AC091987.1,AC243654.1,MYCNUT,ZNF524,AL391427.1,AL162408.1,C10orf62,AC010451.3
14611,HELT,LINC00967,AC012668.3,AP000402.1,AC018529.2,OR1J2,AC021422.1,TSC22D4,ORAI3,AL137786.1,PRDM13,AL161618.1,LINC02110
14612,BMP15,AC015468.1,RAX2,AL121578.3,AC097652.1,AP003064.1,AC122129.1,WDR5,GPRASP2,CCDC73,AP005328.1,AC012462.2,AL513422.1
14613,DSCR4,IGHVII-28-1,LDLRAD4-AS1,AC008764.6,ZNF474,OR52B6,AC073263.2,RRN3,AC008269.1,AC008764.2,AP001993.1,CT45A7,AC010266.1
14614,AC112693.1,IGLV3-17,AC012557.1,TNNI3,DYDC1,LINC01621,LINC01337,AC024941.2,AL162408.1,AC010638.1,AC008456.1,AL049612.1,AC010608.1
14615,CT47A2,AC106744.2,RCOR2,AC004832.6,TECPR1,AC005552.1,MCM2,PADI1,QDPR,AC000068.3,LINC01801,IGHV3-69-1,IGKV2OR2-10
14616,NEU2,KRTAP5-5,ZNF836,TGM7,HEATR3,AP001107.9,LINC02528,DCLRE1C,AC096637.1,LINC01740,FAM240A,LINC00353,OR52M1
14617,USP17L23,SPHAR,OR2D2,OR11H2,AL022328.2,KRTAP6-1,AC003035.1,AC037459.3,SLC25A20,C1orf61,LINC02265,C5orf66-AS1,IGKV7-3
14618,KDM4F,AC026414.1,ERMARD,GPR158-AS1,UCKL1,AL354794.1,CYFIP1,AC024559.2,AC093495.1,SCGB2A1,AC011377.1,RBMXL3,AL359195.1
14619,OR5H6,OR6X1,AC007610.2,AC007952.3,LINC00648,MLX,AL391834.1,AC068733.1,SRGAP1,GABRA2,AL133516.1,IGHV5-78,AC098649.1
14620,AC004066.2,IGHVII-65-1,NHLRC1,AC108868.1,MYLK3,AMIGO1,AC011450.1,SIGLECL1,AC136624.2,GPR132,AL132801.1,GSX1,SCGB1C1
14621,LINC01757,LINC02222,ZNF233,AL357514.1,BVES-AS1,AC093072.1,LINC01823,CSF2,C3orf70,PLCXD2,LYPD1,AC217774.2,LINC02152
14622,AC091917.1,AC010196.1,GABRQ,AL445363.2,RPL27A,AP000542.2,AC012354.1,CLEC18B,WASF3-AS1,IL13RA2,AC008429.3,OR4F29,AC103925.1
14623,AL049541.1,AC008539.1,AC009063.2,AC124312.2,AC117503.1,AL691515.1,IGFL2-AS1,ST14,MATR3,BX470102.1,AC016598.2,AC007656.1,AC134978.1
14624,IGHV3-25,AL159990.1,SEM1,UGT2A1,USHBP1,AP000786.1,TRA2B,LINC02280,CCR7,AC136285.1,AC062039.1,PRM1,IGHD1OR15-1A
14625,IGHV3-52,OR4C46,AP000355.1,AL589986.1,RFC5,AL355001.2,VSIG2,PPP2R3B,AC009812.3,AL606970.3,AC091198.1,AL592430.2,IGHV1OR16-2
14626,CT47A12,AC092336.1,CELA2A,AL031118.1,AC087741.2,AL365205.3,AP000320.1,AP003486.1,AC093157.2,CCDC183-AS1,OR10A4,AL356961.1,IGKV2D-23
14627,AC109464.1,AC079054.1,LINC01700,TUBA4A,AC012170.2,AC084706.1,NWD1,AC007619.1,ZBTB39,LILRA6,AC006960.3,AC091705.1,FAM236B
14628,IGLVVI-22-1,OR13F1,AC084782.1,AL606468.1,FOXM1,Z98257.1,OR1L6,AL662890.1,AC021087.1,PCDHGA1,C2CD3,ACTL9,SPATA31A7
14629,SSU72P3,AC097518.1,NAV2-AS1,ERLIN1,CAMK2D,KRTAP22-2,NUTM1,AC120053.1,ZNF430,BCL2L14,ELOA2,AL110503.1,IGKV1OR2-9
14630,FO393408.1,OR5D3P,HPS6,CA4,THSD7B,AC243773.1,OTX2-AS1,GABPA,RRM1-AS1,AL133343.2,LINC00379,FAM138C,USP17L27
14631,AP005057.1,IGKV1D-32,EIF1AX-AS1,IL17F,RPUSD3,HPN-AS1,SUN3,AC114684.1,AL122035.2,HPR,AC078865.1,AL158147.1,SPATA31A3
14632,AL133343.1,USP17L17,AC113361.1,ABCC5-AS1,AL353768.1,SLC4A9,HASPIN,AC004816.1,EVPL,AL606807.1,OR52A5,LINC02134,AC097381.2
14633,IGKV2OR2-2,IGKV3-25,AC135178.2,HMGCS2,MAPK12,EPN3,DLGAP1-AS3,LINC02025,LINC02518,SPINK4,INCENP,OR8H2,OR1S2
14634,IGHV1OR15-9,GPR32,AC012442.1,LINC01195,AC096773.1,PPP3R2,PRCP,SNRNP35,ERICH4,AL592161.1,CREB3,AC093025.1,TSPY1
14635,AC005609.2,AC117422.1,AC108134.1,LINC00992,CCL25,AC073342.1,LINC02574,PPP1R37,MYF6,ROCR,ZNF32,TRBV17,LINC02103
14636,AC012070.1,TRAV31,AC109460.4,SCNM1,CEP89,ZNF169,NBPF26,AC114401.1,AJ009632.2,AL589990.1,AC010105.1,TRBV6-7,C9orf62
14637,AC135068.9,AC068721.1,AC092295.1,ZNF229,AC073834.1,ACP4,PCDHB12,AL138960.1,AC010889.1,ADA2,FZR1,AC140125.1,IGKV2-23
14638,AC243961.1,AC010486.2,ARMH2,TRAV41,CBLN2,AL121895.2,CYP2C8,GSTA2,HYPM,AL139142.1,LINC02371,TRAV35,AC010760.1
14639,NPBWR1,IGHV3-65,AC011474.2,CREBRF,AC055733.2,AC187653.1,NUFIP1,TRBC1,LINC02049,AC119868.2,LINC01802,OR5T1,IGHV4-28
14640,KRTAP4-16,AC112198.3,TRBJ2-2P,KRT39,AC022762.2,SCRT2,AP001476.1,ACOT8,IGKV2OR22-4,AC027097.1,C3orf85,AL355578.1,KRTAP20-3
14641,LINC02440,IGHV7-56,AC116447.1,GPR89B,PCDHB7,AC016396.1,CHST13,AC090337.1,IGLV3-26,CXorf49,AL136987.1,SCYGR6,KRTAP20-4
14642,AL589946.1,IGKV3-31,RLBP1,AP000959.1,AL136298.1,C20orf202,CLUL1,DEDD2,TRBJ1-6,ANKK1,AC011306.1,AC018558.1,LINC01628
14643,AL138900.1,LINC02110,UPK1A-AS1,SCRT1,SCAP,AC118757.1,AC128709.2,CDH17,AC032019.2,CHST9,CADM2-AS1,AC120498.3,IGHVIII-67-3
14644,IGHD4OR15-4A,IGKV1D-39,AL035661.1,SHMT2,HAR1B,AC002511.2,CYP1A1,MPI,IGHVIII-47-1,ADGRG5,AP001208.1,SPANXN1,IGLVV-58
14645,OR4N4,LINC01957,AL031587.2,PIFO,GRM6,NPIPB13,AC007040.1,XRCC2,OR8H3,PGAP2,TIMM23,SLIT1-AS1,TSHB
14646,TTTY17A,SSTR5,IGHV1-18,LINC02258,AC136604.2,AC024560.3,AP001542.3,ESPNL,IGKV1-32,AL391839.2,AC006150.1,PDX1,AC005324.2
14647,PLA2G2E,AC008406.2,AC092802.2,AC097641.2,UFSP1,AC243547.1,NPIPA5,AC004052.1,IGLVIV-66-1,BOLL,CFAP299,SERPINA4,KRTAP20-1
14648,IGHV1OR15-3,NKX2-2-AS1,AC005549.1,OVOL1-AS1,AC234781.1,GPR21,SLC26A6,ATP9B,AC119676.1,PLXNB3,AC092681.2,AC018445.1,AL159990.2
14649,HSFY2,OR7G1,AC093512.2,BTNL3,AC131212.1,BRS3,KLHL30,WASF2,KRTAP23-1,CCNO,MRPL46,AC012629.1,AL590378.1
14650,UGT2A2,AC108199.1,AC005726.4,IGLV2-11,AL117336.1,LINC02290,INTS9-AS1,AL390066.1,UGT1A4,MYBPH,AC017091.1,TEX36-AS1,AC108199.1
14651,AC012409.4,AC010177.1,COQ2,DHDH,SOX7,TRPV1,LINC02446,AC093158.1,OR10S1,KLHL1,AP000753.1,AL021940.1,TRBV12-1
14652,OR10G2,CYP11B1,AC126696.3,ZNF683,AC137770.1,SULT1C3,AC010536.3,PRLHR,OR8K5,AC004949.1,PIN4,AC093581.1,CLDN25
14653,FAM236A,AC234771.1,AL355297.2,AC008543.5,DNAJC18,AC004801.6,AMDHD1,AC093849.1,IGKV2D-10,PLXNB1,AC003982.1,AC013391.3,AC106017.2
14654,AC027541.1,IGLV2-34,FRS3,AP001020.3,MKKS,IGHV3-75,AL136531.1,ZNF614,RBMY1D,AL008726.1,AC109479.1,OR4F4,AC135068.1
14655,KRTAP10-5,OR4C12,AL136301.1,AC015911.6,USP14,PORCN,DNAH6,PRDM15,LINC00207,CAND2,AC098820.2,AL390961.1,GAGE12G
14656,UGT1A9,AC010451.3,AC010271.1,NUTM2F,AC073655.2,DCTPP1,LINC01715,SLCO4A1-AS1,OR5T2,AC100827.4,VWA5B1,AL008626.1,IGHV3-35
14657,PRAMEF26,IGLVI-56,CRADD,CD72,GPR37L1,HSD3B2,DIAPH3-AS2,PPP1R27,IGLVI-38,EFNA4,RMI2,AC020595.1,IGHV3-38
14658,FAM236C,AC097103.1,AL358876.2,KIZ,LINC01900,SCGB1D4,AC073352.2,AJ009632.2,IGHVII-44-2,AC000068.2,LINC00649,H2BFS,AL132855.1
14659,LINC00538,AC022447.3,MANSC4,CCL16,COG4,PACRG-AS2,C11orf74,H1FOO,OR6T1,HAVCR2,LY6G6F,AL161638.1,IGHV3-53
14660,CT45A8,IFNA10,AC012615.3,SRMS,AL022323.1,GLIDR,AC024022.1,F5,TRAJ60,AP002498.1,KLHL38,TRBV20OR9-2,AC093074.1
14661,KRTAP24-1,IGKV2D-36,AC011840.2,STXBP5-AS1,MLIP-AS1,AL138781.1,INPP5E,PLBD1-AS1,LINC02103,SLC22A12,KIAA1210,TRBV22-1,OR6T1
14662,OR56A5,AC093763.1,NUDT13,AC078828.1,LINC00243,AL096828.3,METTL11B,SERPINB12,OR8K3,FAM186B,CRYGB,IGKV1D-12,IGLV7-35
14663,IGHD1OR15-1A,AC104457.2,LINC02380,TARM1,LHFPL3,AC124276.1,SFTPB,LINC00167,AL139035.1,ITCH-AS1,ALB,AC122108.1,AL031593.1
14664,NKX2-1-AS1,AC010186.1,AL132655.3,AL449403.1,PTPN7,AL355310.2,AC024145.1,AC003991.2,AP000812.4,PAGE1,FAM227B,LINC01074,LINC00554
14665,AC006037.1,AC100781.1,AC025437.1,KLC3,AC068722.1,ATXN7L1,OSBPL7,TAF1A,AC092078.1,PLS1,FAM169A,LINC02059,AL358613.2
14666,KRTAP5-4,LINC01063,AC244100.2,UCP2,CLEC4C,AC005884.2,TPP2,AL031058.1,AC132825.2,AC097059.1,AC004875.1,AC124301.1,LY6L
14667,IGLV3-4,TMPRSS4,AC091588.2,AL357093.1,E4F1,AL035661.1,LINC00558,AC240565.2,AC022441.1,PAK6,AL135902.1,AC129507.3,AC246787.2
14668,BPY2B,KIF22,LINC00368,AC064874.1,DPH6-DT,SEC24A,AL161452.1,ADAM20,IGHV3-19,AC009226.1,AC132219.1,KRTAP9-9,OR9K2
14669,PRICKLE2-AS1,TSSK3,UBQLN3,AC080013.6,AC040173.1,AC010401.1,LINC02021,AC106801.1,IGHVII-78-1,AC007450.1,MRPS25,XXYLT1-AS1,AF099810.1
14670,MRGPRX1,AC105430.1,LINC01491,AL353052.1,KIF11,AC022523.3,GPR35,KRTAP10-4,IGLV3-31,GLYATL1,CCDC97,AC007557.4,DEFA1
14671,IGKV2D-24,LINC02429,AC108063.1,MCM8-AS1,OR51I2,AC012313.2,KRT25,AC009975.1,TSHB,AL121992.1,POTEM,BPY2,AC009396.2
14672,AC012572.1,NKPD1,IL17A,AC233280.1,CCL27,AC106706.1,AC008056.2,AL121721.1,AC060814.4,AC023421.2,LHX2,MAGEA12,AL592464.2
14673,AL353658.1,ST8SIA6-AS1,AC010336.3,FAM120B,LPP-AS2,AC084018.1,AC025366.1,AC130456.5,IGLV10-67,AL391095.2,AL451042.1,AC006019.2,AC091917.2
14674,LINC02382,AL451064.1,AC126614.1,DSG1,AC073050.1,C5orf64-AS1,POFUT2,LINC01695,IGLV3-15,AC010768.2,APOBEC2,LINC01904,CFTR-AS1
14675,AC116038.1,AC015911.9,IGKV1-27,CHTF18,LINC00910,AC116348.1,LINC01643,IMMP1L,USP17L21,AL109807.1,FOXR1,IGHJ2P,FAM187A
14676,AL135923.1,AC113133.1,AC022762.2,LINC01648,TBC1D5,AC136616.1,PRKX-AS1,AP003123.1,AC027451.1,AL049651.1,IGBP1-AS1,AC107958.3,AC092336.1
14677,AC140847.1,FITM2,DCAF4L2,AC124066.1,AUH,AL512306.2,LEXM,AC015813.3,AL022312.1,AC002550.2,LINC02013,OR52J3,FP475955.2
14678,AL160408.4,CEL,ARMCX4,AL358472.2,AF279873.3,FPR3,AP005436.1,GLI2,AC113192.1,LINC01944,JMJD1C,INS,IGHD2-8
14679,AC010745.3,HOTTIP,LINC00449,MAP1LC3B2,IGF2BP3,AC034229.1,CEACAM19,DNAAF2,AC008494.2,CELA2B,TMEM86B,AC213203.1,IGHD5-5
14680,OR5J2,AC016877.1,DNAAF3,LY6G6C,SKP2,ANKRD10,IL20RA,AC026746.1,LCE3B,AC008735.2,AL354714.1,AC097381.3,AC022031.1
14681,PLSCR5-AS1,AL160163.1,ZNF772,AC010973.2,LINC01960,TAC3,AC091946.2,RIPK1,IGHVII-62-1,TCF15,NEK11,AF064858.2,IGHJ1P
14682,OR10AG1,AL359711.2,AC022274.1,TMEM81,SAMD10,AC006296.2,VNN1,AL451062.1,OR11L1,LINC01525,SLC12A3,AC093831.1,VN1R4
14683,OR4S2,AC138028.5,TUSC8,NUDC,AL023583.1,PLCH1-AS2,TNPO2,TAS2R14,AC102797.1,AC073352.2,GZMM,KRTAP19-4,AC239585.1
14684,AL138916.2,KIF12,LINC00583,AC016556.1,AC123912.1,HOXC13-AS,IL17RA,AC145098.1,IGHVIII-2-1,C4orf54,AL121872.1,AC103681.1,LINC00307
14685,AC005232.1,DOK3,PON1,AC004233.3,AP003472.1,AL162586.1,AL133245.1,TMEM170B,IGLVVI-25-1,RRH,DNAJC17,AC007876.1,AC073094.1
14686,OR4F3,SLC11A1,EXOC3,AL591503.1,PLK1,AC026367.3,USP20,AC008443.4,IGLVI-63,AC013553.3,ITIH4,AL627309.4,PRAMEF18
14687,IGHVII-30-21,AC104257.1,XAGE5,AC108860.2,TRAK2,LINC01391,AC073575.2,XRRA1,DAZ3,AC092171.2,AL138885.3,AC009432.1,IGHD2-2
14688,IGKV1OR2-9,TLE7,AC005823.2,RBM15,NPIPA1,PHC2,AL451069.2,TRAJ55,IGKV2-28,AC017053.1,LRRTM4,IFNA1,IGHD3-9
14689,AC087463.1,CLTRN,ZNF799,AC011491.3,AC018845.1,LINC01034,FOCAD-AS1,RAB1A,AC022506.1,AC013451.2,TRGV7,AC010387.1,AP006216.3
14690,USP17L12,AL109615.3,AC013468.1,ZDHHC15,LINC02405,AC006455.1,C21orf62,AP000439.1,LINC02152,AC073834.1,AC138512.1,LINC00560,IGHD3-10
14691,IGHD1-1,LY6H,ESRP2,AL109910.2,USP41,AL513165.1,AL589923.1,AC245052.7,LINC02184,AC012174.1,NPAS4,AC009227.2,IGHD5-12
14692,AC025244.2,AC022733.1,Z97056.1,AC118757.1,AC078889.1,AC090796.1,ST6GALNAC1,PBXIP1,IGHV3-57,AC009185.1,ZNF211,KLF18,AC018685.1
14693,KRTAP10-7,C7orf77,CRYGN,AC016383.1,UBA3,TRAJ29,AC239804.1,AL031666.2,AC141257.1,SLC9A7,PRDM9,AL022396.1,IGHD6-13
14694,BX640515.1,PLA2G2F,TMEM182,SHROOM1,TINCR,CYP27B1,AC003070.2,EIF3CL,IGHVII-46-1,AC018529.2,SLC24A5,SPATA31A1,AL008638.4
14695,LRRC30,AC126614.1,VSTM1,CPPED1,AC138356.1,AC020908.1,UBA5,AL031432.5,IGKV3-34,AC093010.2,FGF6,AC092669.1,IGHD3-3
