,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
51,SPRY1,TSHZ2,CYB5R3,CXCL2,TFAP2C,PALLD,COL11A1,FRZB,FMO2,CHN1,TENM3,PKM,ANGPTL5
52,GLDN,IGFBP6,GPX4,BTG1,APCDD1,PIM1,SELENOP,PEAR1,LDB2,SEMA5A,P4HA2,ACAN,CAPG
53,MT-CO2,AKR1C1,POLR2L,HLA-F,PMEPA1,PMEPA1,APCDD1,LINC01197,TIMP1,UNC5B,SPON2,CTSB,FXYD6
54,NKD1,EBF1,APOD,SNED1,SCUBE3,SESN3,FGF13,AC116345.1,PID1,TSPAN5,NRG1,ACTA2,PLS3
55,CEBPB,NAMPT,LGALS3,CLSTN3,LMO4,HAPLN1,PTH1R,MCTP1,NTRK3,HES4,BCKDHB,FAP,PTN
56,ARHGAP29,SELENOP,ANXA2,TMEM150C,SEMA3G,FGF7,NECAB1,SDCBP,FMNL2,CHST11,LGR4,HIP1,SCRG1
57,SPON1,SPSB1,RPL10,IL32,DCC,JMJD1C,PTPRK,EPS8,SYN3,CTSB,TPM2,PLPP4,AEBP1
58,CTSC,RPL39,SGCA,TNFRSF6B,HNRNPA1,PCDH18,BHLHE41,GPC3,COL26A1,SLC16A3,TAGLN,LRRFIP1,CTSB
59,TMTC2,EDNRB,CD70,RPS4X,LAMA3,GPM6B,ROBO2,MRAS,UACA,CYTOR,AEBP1,TNC,SCX
60,BST2,RPL10,SVEP1,RPL10,CNTN4,MEG3,SRPX,NR4A1,AKAP12,HIF1A,SFRP4,SDK1,CRISPLD1
61,PHLDA1,ABI3BP,HPGD,MT-ND1,TRHDE,PDE1A,ZC2HC1C,RBMS3-AS3,COL21A1,TENM4,PCOLCE,COMP,FIBIN
62,ISM1,GPRC5A,RGCC,CTSC,F2R,CNKSR3,SNHG8,FOXS1,NECAB1,RASAL2,PTN,PLAU,SEMA3C
63,ZFP36L2,FAM241A,PLPP3,LAMA4,HHIP,MAF,CPNE5,ALDH1A1,PLCB1,COL6A1,PIEZO2,FNDC1,USP53
64,PREX2,MYOC,PDGFRL,RPL36A,HNRNPA3,BTG2,AL049830.3,MTSS1,TSHZ2,CDH11,OSTC,LHFPL6,SULF1
65,DUSP1,ARID5B,SLC29A1,SNHG8,NRXN3,UGT3A2,CCK,LAPTM4A,ADAMTS9-AS2,ETV6,MIR99AHG,PPFIBP1,MT1X
66,HLA-A,ADAMTS4,SELENOP,TYMP,HMGB1,ARHGAP21,MAFB,ITGB4,RNASET2,MMP1,CPXM1,ATP1B1,COL8A1
67,FST,HSPD1,SFRP2,MT-CYB,ST13,PRNP,CHADL,CBLB,PTPRG,EPSTI1,SGCD,PLOD2,CNN3
68,SVIL,SRPX,CTSK,ADH1B,SGIP1,GLI2,PTGFR,ABCA10,SLC26A5,EPAS1,THY1,ACTN1,ANXA4
69,C1S,CHD1,THBS2,PPA1,SLC26A7,UTRN,CTSK,ARHGAP42,LTBP4,C1QTNF6,GUCY1A1,P4HB,MYO1D
70,PHACTR3,PDK4,OSR2,IL11RA,PCDH11X,COL15A1,LRIG1,TXNIP,EBF1,NXN,ADAMTS2,MYL9,CCPG1
71,PGRMC1,CHRDL1,SERPINF1,ICAM1,SHOX2,H3F3A,NR2F1,CD200,LINC01091,MAP3K5,C1QTNF6,TUBA1A,ZFHX3
72,LINC00327,GDF10,AQP1,NNMT,IQGAP2,COL21A1,TSHZ3,ENTPD2,RGMA,ARHGAP24,PALLD,RRBP1,EDIL3
73,COL4A1,NR4A3,FHL1,HLA-DRB1,PLCG2,DOK6,SSPN,CEBPD,AC005064.1,PRDM1,RUNX2,KCNMA1,DHRS3
74,HLA-B,MT2A,SLIT3,IL34,TBX3,LRRC17,PRKCB,CDO1,TBX18,EMILIN1,TTC3,PTPRD,MTSS1
75,ANTXR1,AMD1,ANGPTL1,VCAN,HNRNPA2B1,JAG1,MRPS6,CAVIN2,PLA2G5,MIR4435-2HG,GPX8,FNDC3B,ITGA11
76,NTM,SOCS3,PMP22,CYP1B1,PI15,MAP1B,CLEC14A,LUM,TMSB4X,SAT1,PRKG1,FKBP10,PCOLCE2
77,PAG1,SAT1,TSPAN4,LIFR,TRIM2,INHBA,SERTAD4-AS1,INMT,CMKLR1,PLOD2,TANC2,RABAC1,RIN2
78,TNC,PLIN2,RPS4X,MT2A,FBXO32,MXRA5,TCEAL2,PLEKHA4,LINC00377,TNFRSF21,KRT10,RAB31,COL12A1
79,BIRC3,CEBPB,DHFR,OSMR,DAAM2,IER5,CD34,FMO3,PGF,PAPSS2,LRRC15,TMED9,BNC2
80,GREM1,IFI16,CXCL12,SOD3,RUNX3,CYYR1,ADAMTS6,AKAP12,TBX15,TANC2,SULF1,NREP,TGFBI
81,TBX3,MARCH3,TSC22D3,IGFBP3,NPM1,JAM2,ITGA11,SLC2A1,CDH11,PAG1,TSPAN13,NT5DC2,ENPP1
82,MT1E,EPHX1,MT-ND1,PSMB9,LAMB1,CCND1,PTPRD,NRP2,SEMA3G,TMEM45A,METRN,COL14A1,CPXM2
83,ZBTB20,EIF4A1,NPC2,ADRA2A,PTGER3,RANBP3L,NR2F1-AS1,RPL34,PLBD1,FP236383.3,CKAP4,CAPG,CRIP2
84,ID1,IL1R1,CKB,MT-ND4L,RNF24,MARCKS,BTBD11,TXN,IGFBP7,RAI14,SPATS2L,AEBP1,PLPP1
85,TTC39C,RPL36A,LGR5,C7,CYYR1,TLL1,KIF21A,EIF4A2,ZFHX3,PRRX1,TNC,ARHGAP1,AMBRA1
86,GNG11,VEGFA,ITGB1BP1,MSC,KIF26B,RPS4X,CNTN1,ANGPTL7,ABCA8,ISG15,MRC2,ITGA10,RBP4
87,ADIRF,LINC01140,CADM3,MT1M,KAT6B,SLC38A2,FOXP2,ZFP36,CNTN4,PTPRE,TXNL4A,NCAM1,PKM
88,DKK2,EGR1,S100A4,RPL12,BCL2,PLSCR4,AP001347.1,NDRG2,MFAP5,NREP,C1QTNF3,BNC2,ELMO1
89,MT-CYB,IL6,KLF4,CLU,ROBO2,CHCHD10,MAMDC2,BTG2,F2R,STARD13,CSRP2,MMP14,ASAP2
90,RGCC,NR2F2,NENF,SLC2A3,ETS2,ASIP,TBX15,FOXD1,CSRP1,PITPNC1,MFAP2,PSD3,RETREG1
91,CEBPD,PPP1R15B,ACTB,LAP3,IBSP,GJA1,CD9,RARRES2,PLCL2,DIO2,PLOD2,SPAG9,NOX4
92,MYO10,LTBP4,MATN4,IFITM2,SON,RBFOX1,CCDC68,TNNC1,CD34,HLA-F,ARHGAP28,PCDH7,COL14A1
93,LINC01091,DNAJA1,MT-ND2,MT-ATP8,BAMBI,SET,P3H2,COL21A1,FAM20A,TDO2,AUTS2,SLC16A3,LIMA1
94,NRN1,COL4A1,AOX1,ID4,SYT10,DNAJB4,PLCB4,LINC00924,ITGA9,MSC-AS1,RRBP1,PGM2L1,CRIP1
95,THBS1,ELL2,DBN1,HSPA1A,TLE4,EMID1,MARCKS,NDUFA4L2,ALDH1A1,PPFIBP1,ATOX1,EVI2A,ITGA10
96,PTGS2,RPS4X,DDAH2,PNRC1,DKK2,STOM,ASIP,FGF7,TNRC6C,SH3RF3,CLEC11A,MMP2,PDGFRL
97,TSC22D3,NOP16,RPL39,PLEKHH2,ANKRD29,IER5L,PPP1R14A,AC027013.1,DIO2,MYO1B,SDC1,RCN3,MYLK
98,COL4A2,PPARG,CLTB,IFI27L2,TSC22D1,CGNL1,RHOJ,RPL3,DLC1,SOX5,GALNT5,CALD1,PPP3CA
99,MT-ATP6,HSPB6,FTH1,CFD,TCF4,MYCBP2,DNM3OS,RGS6,PCDH18,KIAA1217,KDELR3,KIAA1217,PDLIM5
100,C12orf75,TMED5,RPL35,COL15A1,GRIK1,NUFIP2,CEMIP2,SYNE2,RBMS3,MICAL2,FKBP11,UBE2E2,ACAN
101,AHRR,NOLC1,DPP4,MT-ND2,ADGRB3,ALX4,ISG20,SOX5,LTBP2,ST5,PHPT1,COL12A1,DGKI
102,MAP7,MT-ND3,PTGFR,JUNB,CA8,ARHGAP42,CHN1,PLK2,DOK6,STAT1,SPON1,UBE2E1,RORA
103,EMX2,DAB2,CILP,OLFM2,THSD7A,SELENOP,MEGF6,ABCA9,ABCA6,ATXN1,SEC61G,GABARAPL2,GALNT18
104,CHCHD10,ARHGAP6,LRP1B,MT-ATP6,MALAT1,HNRNPA1,CDH12,CXCL8,GAREM1,AP2S1,CHPF,TANC2,PTPRD
105,PDGFRB,DCN,C1orf21,ADAMDEC1,VGLL4,EIF4B,PLPP1,PAK3,PRKG1,PTPRG,CDH11,RGS3,UACA
106,GPNMB,EIF4A3,TIMP2,ZFP36,SPON2,F2RL2,PTK7,RPS8,EPHA3,SERPINH1,MXRA5,SYCE1L,ANKH
107,CACNA2D3,DDX5,RNASE4,NRP1,SOX4,CDKN2C,FAM3C,UACA,SPRY2,SERPINE1,RCN3,S100A16,RERG
108,PDGFRA,F3,MTRNR2L1,PHLDA1,ALPL,KCNMB4,AC079760.1,KIAA1217,BHLHE40,GRAMD1A,C12orf75,ADAMTS2,AC062004.1
109,TNFAIP3,TJP2,HSPB2,CCDC146,PLK2,CNN2,HTR1E,ELOVL5,KIF13A,TPM4,RYR2,ZFAND3,DST
110,PTGS1,ABCA9,ACKR3,NLGN4X,HMGB3,LAMA2,SMAD1,PPP1R12B,MATN2,EVA1A,STARD4-AS1,DYNLT1,NDFIP1
111,LY6E,ALDH1A1,FCGRT,HLA-DRA,NRXN2,C11orf96,TENM3,AFDN,ACVR2A,PLD1,UQCR10,ARPC2,AC010894.3
112,IGFBP2,C1orf54,FBLN5,COL18A1,BCL11A,SOX4,MAB21L2,CAV2,C1QTNF7,MMP14,EMILIN1,DAPK3,CCDC3
113,LAMB2,SERPING1,CAPS,ABCA8,SET,DAB2,CRYBG3,ARHGAP10,LFNG,PRKCA,ROR2,RALA,TSPO
114,DIRAS3,NEGR1,LOX,PSME2,LUC7L3,ASPN,NSD3,NFE2L2,CBLB,CTHRC1,MAGED1,EVL,FHOD3
115,TCIM,CDKN1A,HLA-C,CSF1,MYH10,CAMK2N1,PGF,ADIRF,EMCN,PHLDA1,LINC02544,P4HA2,FRMD4B
116,MT-ND1,KCNE4,GYPC,CP,CXCR4,SH3KBP1,DLG2,EGFLAM,PEAR1,IL1R1,BRI3,CHPF,DEPP1
117,OSBP2,SFPQ,RBM3,SUMO2,PRPF4B,HNRNPA2B1,DAAM2,TAC1,GRIA1,EDNRA,BMP1,AKAP13,PLOD2
118,MT-CO3,CYCS,PRG4,CX3CL1,LINC01117,IGF1,TMEM132C,SPTBN1,SAMD5,MMP3,CSMD2,GOLIM4,LTBP2
119,TMEM52,EGFR,CCDC80,EDNRB,GNAS,RPS10,RUNX1T1,SREBF2,DOCK6,PDZRN3,BASP1,CRY1,CHAD
120,ZNF608,RPS29,CES1,RPL7A,NKD1,SEMA6A,LINC00578,DBNDD2,ITM2B,BPGM,FKBP10,SERPINH1,ZFHX4
121,TMEM123,DDX3Y,COX7A1,VIM,LMO3,MYL4,MT-CYB,EGR1,KLK1,PLEKHA5,NT5DC2,LIMS1,MATN2
122,TWIST1,WDR43,LRRC2,HNRNPA1,CEBPA,KPNA2,AKAP9,JAM3,PRDM8,PDGFRB,OLFML2B,TNIK,THBS3
123,GAS1,KHDRBS3,FP700111.1,DCLK1,RUNX1T1,CCNG2,RHOB,AFF3,INMT,IL32,ADAMTS6,CRISPLD1,LNPK
124,FMOD,SNHG15,LINC01133,ENPP2,PTMS,TAF1D,MMP23B,PLSCR4,RARB,OLFM2,P3H3,ENO1,STEAP2
125,RGS3,HSPE1,CLDN11,FILIP1L,HERC2,SFPQ,MMP19,DDIT3,CNTN3,SSH1,PLPP4,DOK5,SERTAD4-AS1
126,DCHS2,NFIL3,MT-ND4,COL4A4,CDK19,PABPC1,EMB,KIAA1671,SPON1,RCN3,IGF1,MACF1,PRUNE2
127,DIO2,TXLNG,VAT1,BST2,SUMO2,SMARCA2,WLS,TIAM1,SERPINE2,IFI30,ITGB1,SYNJ2,GOLIM4
128,PRRX2,ARL6IP1,ADAMTSL1,IFITM1,MSI2,ADAMTS4,ZEB2,OLFML2A,LPL,GPC6,P3H1,SYNDIG1,SEMA3B
129,RND3,PCDH9,CP,ICAM2,GLI2,HSPD1,ABCA10,KANK4,AFF3,CA12,ELN,FNIP2,SCARA3
130,HAS2,LGALS3BP,GSTP1,RND3,SNAI2,MEG8,MT-ATP6,ADAMTSL3,PAK3,ELOVL5,TMEM45A,RLF,TSHZ2
131,MT-ND2,TUBB4B,ZBTB16,IFI30,PNN,EIF4A2,PI16,SHISA6,LINC01140,TRPS1,LMAN1,VKORC1,ADK
132,GRIK2,DDX3X,MTRNR2L10,CEBPD,RPL39,RPL22,IRS2,OAF,RORA,FARP1,LAMP5,PXDN,KLHL29
133,TNFRSF21,CCDC71L,CAB39L,RPL22,BMP4,LEF1,LUZP1,DCN,MAP2,PRR16,VKORC1,ANGPTL2,IGF1
134,THBS2,MAT2A,UST,RPLP0,IGFBP2,FMNL2,PRRG4,CLIC5,MAF,RRBP1,FKBP14,SLC41A2,TPD52L1
135,TTR,RPS10,PTGIS,TCIM,EIF4A2,RUBCNL,CHST15,PLEKHA7,NR6A1,PSME2,P4HA3,NXN,GAS6
136,THSD4,KCND2,SEMA3B,CD40,RPS4Y1,INTS6,TBX18,LAMA2,SEMA5A,SNAI2,PRICKLE1,MYH9,AHNAK2
137,MT-ND3,TNNT3,GALNT16,PSME1,SRD5A2,SLC40A1,PRDM5,RPL35A,ARHGDIB,PSMB9,LOX,TPPP3,ACTB
138,MT-CO1,MAFF,SPAG17,MGP,SFRP1,MGLL,RHPN1,RPL35,MSI2,PHC2,PDZRN3,ECM1,ARL6IP5
139,NBL1,SERPINA3,MAP1B,TMEM132C,JAG1,DDX3X,ZNF385B,ETV1,LRRC38,ACTN1,CACNA1C,FHOD3,TNMD
140,CTSD,ABCC9,CNKSR2,IRF1,DDX5,SYNE2,ADAMTS9-AS2,BMPR1B,TMPO,DNAJC15,CADM1,SERF2,AKR1C2
141,SGCG,HNRNPH1,AKR1C3,RPL39,MYOCD,GNAQ,GFRA1,CNN3,DIRC3,ADAMTS12,NXN,MYDGF,CHPF
142,AKAP6,COL15A1,ADGRD1,HES4,NSD3,SEMA5A,NCAM1,CYSTM1,CNTN1,ITGA1,CALD1,C1orf122,CD151
143,LINGO1,HLA-E,SEMA3E,MT-ND5,TCEAL2,FOXP2,MT-ND5,CALM2,PROS1,BNC2,SERPINH1,BACH2,AC108734.4
144,COL6A3,HNRNPAB,RPS27,RPL37,FGFR2,MBNL1,GFOD1,CAV1,SIPA1L1,GUCY1B1,FNDC3B,MYL12A,GALNT13
145,ABCA5,PRRX1,PLA2G2A,FGF7,EDIL3,PNN,BTG2,PLPPR4,AL591501.1,MFAP2,LRRN1,KDELR3,C1QTNF2
146,CYP7B1,NFE2L2,RPL38,LDB2,DLL1,IFI16,SERTAD4,FMO2,NR2F2-AS1,FNDC3B,RARRES2,GLIS3,NR1D1
147,STC1,EIF1AX,RNH1,S100A13,PKP4,PURA,ADGRL3,PALMD,BRINP3,NEDD4,SSR3,ISLR,LRMDA
148,SEMA6D,REL,RPL27A,IL15RA,CACNA1D,RPL39,RASD1,DMD,LINC01482,COL18A1,KCNMA1,LTBP1,PKD2
149,MEF2A,FGF2,CTSF,CHCHD10,MCC,SSPN,HS3ST6,ADAMTS9-AS2,GSTM5,TENM3,P3H4,FXYD6,AC012636.1
150,GLI3,CCNL1,LIMS2,GEM,ITGA8,ADAMTS18,RFLNA,CYP1B1-AS1,PTPRK,DYNLT1,NRP2,RPS17,GPX3
151,PIK3R1,ATP1B3,GABARAP,HSPA1B,ADGRL3,HNRNPU,SOD3,BST2,NFIB,RIPOR3,ITGBL1,MIR155HG,ENO1
152,LUCAT1,RSL1D1,GPNMB,KCTD12,FUS,FGFBP2,PLEKHH2,RPS25,SLC2A3,TBX3,TPM4,LINC00511,EPDR1
153,SERPING1,MT-ND2,TWIST2,G0S2,PCSK1N,RAP2A,PMEPA1,PLEKHA6,CLEC14A,NID2,SCX,PYCR1,PAM
154,MAN1A1,ENPEP,AGTR1,TFPI,EFNA1,WFDC1,GAP43,APOO,TRERF1,CYP7B1,SLC24A2,COL8A1,PLA2G2A
155,DOCK5,SPRY2,TPPP3,MT-ND4,LUZP1,TBC1D2B,BMP4,DNAJB1,ABCA10,LINC01060,DGKI,COPE,TIAM2
156,RASD1,HSPH1,GALNT15,ST8SIA1,EDN3,ARID5B,KIF26A,KLK1,TSPAN11,NOTCH3,GLIS3,FAM49A,DSE
157,PALM2-AKAP2,SASH1,PPL,EBF1,EIF3L,SLIT3,BEX5,OGN,DPYD,PTPRM,PYCR1,KIF1B,EVI2A
158,TNFRSF11B,PXDC1,C1R,IL15,IP6K2,ABI2,TSC22D1,LAMA4,DYNC1I1,RUNX1,ARL4C,NRP2,TPRG1
159,FXYD5,SLC4A7,AC108734.4,RPS4Y1,MYCBP2,MLLT11,PLEKHG5,AGMO,PDE10A,MDFIC,JUND,COL6A2,ABI3BP
160,CES1,EGR3,NDFIP1,EEF1A1,SDC1,KLF2,TANC1,AL445250.1,TAC1,DPYD,VEGFB,TSPAN2,B4GALNT3
161,EPHB6,PTP4A2,GALNT13,UBD,CTNNAL1,GOLGB1,AC087516.2,EZR,BHLHE41,SMIM3,NBL1,DPYSL3,MACF1
162,FBLN2,FOSB,CFH,IFI16,ZDHHC14,RBP4,ENPP2,UBC,GABRG3,FOXP1,TRIO,RAI14,ACKR3
163,DPYSL2,GCLM,RAMP2,HLA-DPB1,MTRNR2L12,SLC1A3,PDE10A,SOX9,THSD1,OSTC,SSR4,YIF1A,ADAMTS2
164,COL3A1,DNAJB1,ADCY2,MT-CO1,MEX3A,SKIL,SBDS,KIF22,FRZB,SMYD3,PDZRN4,PPP2R3A,TUBA1A
165,MT-ND5,HIC1,AKR1C2,FGL2,RPS10,LINC00632,WWTR1,UBE2E2,PKP4,PDE3A,GNAS,ACTR3,LRRFIP1
166,UNC13C,FMO1,RPL36A,NOP53,NES,RAP1GAP2,NRP2,FBN2,LINC01807,CHST15,PTPRD,CD276,AUTS2
167,COL5A1,SOD3,LRFN5,ODF3B,WLS,DTX4,LY75,SLC7A2,DDIT4L,MAP4K4,FNDC1,FSCN1,ACTN1
